003_vmcu accel pedal depth,003_vmcu accel pedal related,003_vmcu brake lamp,003_vmcu brake related,003_vmcu brakes on,003_vmcu d,003_vmcu n,003_vmcu p,003_vmcu r,003_vmcu real vehicle speed,003_vmcu motor actual speed rpm,000_auxillary battery voltage,000_available charge power,000_available discharge power,000_battery current,000_battery dc voltage,000_battery fan feedback,000_battery fan status,000_battery inlet temperature,000_battery max temperature,000_battery min temperature,000_battery module 01 temperature,000_battery module 02 temperature,000_battery module 03 temperature,000_battery module 04 temperature,000_battery module 05 temperature,000_bms ignition,000_bms main relay,000_cumulative charge current,000_cumulative discharge current,000_cumulative energy charged,000_cumulative energy discharged,000_drive motor speed 1,000_drive motor speed 2,000_hv_charging,000_inverter capacitor voltage,000_isolation resistance,000_maximum cell voltage,000_maximum cell voltage no_,000_minimum cell voltage,000_minimum cell voltage no_,000_normal charge port,000_operating time,000_rapid charge port,000_state of charge bms,000_airbag h/wire duty,000_battery cell voltage deviation,000_battery heater 1 temperature,000_battery heater 2 temperature,000_battery module 06 temperature,000_battery module 07 temperature,000_battery module 08 temperature,000_battery module 09 temperature,000_battery module 10 temperature,000_battery module 11 temperature,000_battery module 12 temperature,000_maximum deterioration cell no_,000_minimum deterioration,000_minimum deterioration cell no_,000_state of charge display,000_state of health,004_calc estimated time 45kw 80% charge,003_vmcu ambient temp,000_battery power,004_calc average battery module temperature,004_calc average cell voltage,created_on,MacAddress,before_parsing,latitude,longitude,gps_speed,ev_speed_kmh,accuracy,rownum
0.0%,0.0,0.0,90.0,0.0,0.0,0.0,0.0,1.0,4.16mph,424.0rpm,14.6V,67.62kW,98.0kW,2.3A,395.6V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.2Ah,16376.1kWh,15893.1kWh,0.0rpm,0.0rpm,0.0,394.0V,1000.0kOhm,4.12V,22.0,4.1V,83.0,0.0,4226.330277777778hours,0.0,95.0%,80.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,100.0%,100.0%,0.0minutes,19.0C,0.90988kW,22.0C,4.120833333333334V,2019-11-05 15:03:07,00:1D:A5:00:1B:86,[B@ed30c1e,0.0,0.0,0.0,6.6976,0.0,1
0.0%,0.0,0.0,90.0,0.0,0.0,0.0,0.0,1.0,3.86mph,380.0rpm,14.6V,67.62kW,98.0kW,2.0A,395.6V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.2Ah,16376.1kWh,15893.1kWh,412.0rpm,412.0rpm,0.0,394.0V,1000.0kOhm,4.12V,22.0,4.1V,83.0,0.0,4226.331111111111hours,0.0,95.0%,80.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,100.0%,100.0%,0.0minutes,19.0C,0.7912kW,22.0C,4.120833333333334V,2019-11-05 15:03:09,00:1D:A5:00:1B:86,[B@df9a7ec,0.0,0.0,0.0,6.2146,0.0,2
0.0%,0.0,0.0,90.0,0.0,0.0,0.0,0.0,1.0,4.52mph,447.0rpm,14.6V,67.62kW,98.0kW,2.5A,395.5V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.2Ah,16376.1kWh,15893.1kWh,0.0rpm,0.0rpm,0.0,394.0V,1000.0kOhm,4.12V,22.0,4.1V,1.0,0.0,4226.331944444444hours,0.0,95.0%,80.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,100.0%,100.0%,0.0minutes,19.0C,0.98875kW,22.0C,4.119791666666667V,2019-11-05 15:03:13,00:1D:A5:00:1B:86,[B@d8cb6f,0.0,0.0,0.0,7.2772,0.0,3
0.0%,0.0,1.0,89.0,1.0,0.0,0.0,0.0,1.0,0.0mph,2.0rpm,14.6V,67.62kW,98.0kW,1.3A,395.6V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.2Ah,16376.1kWh,15893.1kWh,0.0rpm,0.0rpm,0.0,394.0V,1000.0kOhm,4.12V,52.0,4.1V,1.0,0.0,4226.332777777778hours,0.0,95.0%,80.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,100.0%,100.0%,0.0minutes,19.0C,0.51428kW,22.0C,4.120833333333334V,2019-11-05 15:03:17,00:1D:A5:00:1B:86,[B@77cde55,0.0,0.0,0.0,0.0,0.0,4
0.0%,0.0,0.0,90.0,0.0,0.0,0.0,0.0,1.0,4.16mph,409.0rpm,14.6V,67.62kW,98.0kW,2.1A,395.5V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.2Ah,16376.1kWh,15893.1kWh,0.0rpm,0.0rpm,0.0,394.0V,1000.0kOhm,4.12V,22.0,4.1V,1.0,0.0,4226.334444444445hours,0.0,95.0%,80.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,100.0%,100.0%,0.0minutes,19.0C,0.83055kW,22.0C,4.119791666666667V,2019-11-05 15:03:23,00:1D:A5:00:1B:86,[B@e8bc10f,0.0,0.0,0.0,6.6976,0.0,5
0.0%,0.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.11mph,92.0rpm,14.6V,67.62kW,98.0kW,3.1A,395.5V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.3Ah,16376.1kWh,15893.1kWh,100.0rpm,100.0rpm,0.0,394.0V,1000.0kOhm,4.12V,22.0,4.1V,1.0,0.0,4226.336111111111hours,0.0,95.0%,80.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,100.0%,100.0%,0.0minutes,19.0C,1.22605kW,22.0C,4.119791666666667V,2019-11-05 15:03:28,00:1D:A5:00:1B:86,[B@2d875df,0.0,0.0,0.0,0.1771,0.0,6
0.0%,0.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.34mph,51.0rpm,14.6V,67.62kW,98.0kW,2.6A,395.5V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.3Ah,16376.1kWh,15893.1kWh,0.0rpm,0.0rpm,0.0,394.0V,1000.0kOhm,4.12V,22.0,4.1V,1.0,0.0,4226.337222222222hours,0.0,95.0%,80.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,100.0%,100.0%,0.0minutes,19.0C,1.0283kW,22.0C,4.119791666666667V,2019-11-05 15:03:31,00:1D:A5:00:1B:86,[B@e38a6af,0.0,0.0,0.0,0.5474000000000001,0.0,7
0.0%,0.0,1.0,89.0,1.0,1.0,0.0,0.0,0.0,0.0mph,5.0rpm,14.6V,67.62kW,98.0kW,1.1A,395.6V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.3Ah,16376.1kWh,15893.1kWh,0.0rpm,0.0rpm,0.0,394.0V,1000.0kOhm,4.12V,87.0,4.1V,1.0,0.0,4226.337777777778hours,0.0,95.0%,80.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,100.0%,100.0%,0.0minutes,19.0C,0.4351600000000001kW,22.0C,4.120833333333334V,2019-11-05 15:03:33,00:1D:A5:00:1B:86,[B@971537f,0.0,0.0,0.0,0.0,0.0,8
0.0%,0.0,0.0,90.0,0.0,0.0,0.0,0.0,1.0,4.08mph,388.0rpm,14.6V,67.62kW,98.0kW,2.7A,395.5V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.3Ah,16376.1kWh,15893.1kWh,412.0rpm,412.0rpm,0.0,394.0V,1000.0kOhm,4.12V,22.0,4.1V,1.0,0.0,4226.338611111111hours,0.0,95.0%,80.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,100.0%,100.0%,0.0minutes,19.0C,1.06785kW,22.0C,4.119791666666667V,2019-11-05 15:03:37,00:1D:A5:00:1B:86,[B@f077c4f,0.0,0.0,0.0,6.5688,0.0,9
0.0%,0.0,0.0,90.0,0.0,0.0,0.0,0.0,1.0,3.28mph,341.0rpm,14.5V,67.62kW,98.0kW,2.6A,395.5V,0.0Hz,0.0,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,1.0,1.0,44100.7Ah,44059.3Ah,16376.1kWh,15893.1kWh,412.0rpm,412.0rpm,0.0,394.0V,1000.0kOhm,4.12V,11.0,4.1V,1.0,0.0,4226.339444444445hours,0.0,95.0%,80.0,0.0V,0.0C,0.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,22.0C,60.0,100.0%,1.0,100.0%,100.0%,0.0minutes,19.0C,1.0283kW,22.0C,4.119791666666667V,2019-11-05 15:03:39,00:1D:A5:00:1B:86,[B@b40211f,0.0,0.0,0.0,5.2808,0.0,10
